condition,Period,RMSE,T2T,MAF,Ine,Group
AD,13,0.04449259097731362,1.4884000000000002,2.099678109261829,0.7858858040914775,Group 6
AD,14,0.03641160169313662,1.246,2.335278662280093,0.7586441221798277,Group 6
AD,15,0.03904728435956252,1.3813,2.047803830124075,0.609294043474815,Group 6
AD,16,0.04686635035760701,1.4494,2.4773161560075563,1.1123920664166904,Group 6
AD,17,0.03892226301194169,1.34,2.454437345227528,1.0488216752052881,Group 6
AD,18,0.038176622352997465,1.3045,2.082961441046544,0.8681279933972501,Group 6
AD,19,0.03533473743147527,1.2525000000000002,2.584556612685599,1.1140286597350084,Group 6
AD,20,0.039405933146101114,1.3387,2.784373441017293,1.0988311978386396,Group 6
AD,1,0.043755950777925316,1.6353,2.4081025584442406,1.280010502456149,Group 7
AD,2,0.04803624651844924,1.7494,5.390952728660626,2.980831370931351,Group 7
AD,3,0.052342614853537334,1.8712000000000002,5.922952167056358,3.6870721911634363,Group 7
AD,4,0.05112326201481046,1.889,5.447625979307771,3.428830363768339,Group 7
AD,5,0.03691901527233034,1.4184,3.4899767621806803,1.8935069605972212,Group 7
AD,6,0.03850150810094007,1.4769,2.8129975512183845,1.382389704238624,Group 7
AD,7,0.045941646113704576,1.6728,1.7993816836498722,0.7276744269815014,Group 7
AD,8,0.04462028255212742,1.6117000000000001,3.2242717670451277,1.7752552883177695,Group 7
AD,9,0.05415493343655641,1.9315,2.544271531977816,1.0714871653106286,Group 7
AD,10,0.0486816865525286,1.7839,4.285869898045033,2.391019972544206,Group 7
AD,11,0.04644173806370236,1.6696,3.4196706248718214,1.6308836478700461,Group 7
AD,12,0.04870302905684803,1.7655,4.241837673594155,2.391130325082605,Group 7
AD,13,0.041161856108469265,1.6014000000000002,3.638720903132733,1.7785282838453924,Group 7
AD,14,0.043093925972321694,1.5477,4.33457362834989,2.206458840998916,Group 7
AD,15,0.04836244389220762,1.735,4.356661457291798,2.5426947803586533,Group 7
AD,16,0.05184936794256791,1.8689,3.8141777688938086,2.028799924726728,Group 7
AD,17,0.04657845983724498,1.7356,5.073750237505589,2.451008412484601,Group 7
AD,18,0.04318057281526271,1.6621000000000001,2.1894077343211404,0.8454989503935417,Group 7
AD,19,0.03963608229378394,1.4378,3.2488078913454976,1.4479156390284185,Group 7
AD,20,0.042829762482924465,1.6514,4.02226523265387,2.218768609164659,Group 7
AD,1,0.05577050447422492,2.1359,6.8706262935637845,3.3316266413062374,Group 8
AD,2,0.04225680619169337,1.413,5.2486755220135555,2.8179446214922956,Group 8
AD,3,0.03595716087425438,1.2302,6.3912469590484475,3.3615273738865974,Group 8
AD,4,0.03583290802448367,1.1743000000000001,7.404813456243801,3.3238304859230885,Group 8
