types,sub_pos,Group,exp,porr,sum_force
Ad(Ac),0.021145504,3,3,pitch,0.9974456
Ad(Ac),0.05560031,3,4,pitch,0.587513
Ad(Ac),0.065817565,3,5,pitch,0.8137939
Ad(Ac),0.011991996,3,6,pitch,0.34100828
Ad(Ac),0.009343421,3,7,pitch,0.38311207
Ad(Ac),0.027863737,3,8,pitch,0.746854
Ad(Ac),0.030275015,3,9,pitch,0.78023124
Ad(Ac),0.04972534,3,10,pitch,0.7392212
Ad(Ac),0.04508136,3,11,pitch,0.62935376
Ad(Ac),0.059239127,3,12,pitch,0.93709385
Ad(Ac),0.033204477,3,13,pitch,0.45581126
Ad(Ac),0.0073053455,3,14,pitch,0.32877728
Ad(Ac),0.08253514,3,15,pitch,0.9590535
Ad(Ac),0.07534132,3,16,pitch,0.7923976
Ad(Ac),0.056960758,3,17,pitch,0.81070834
Ad(Ac),0.051230717,3,18,pitch,0.76785666
Ad(Ac),0.041417655,3,19,pitch,0.76545686
Ad(Ac),0.06300969,3,20,pitch,0.43947512
Bi,0.007553219,3,1,pitch,0.13758898
Bi,0.003834609,3,2,pitch,0.09053887
Bi,0.0082624275,3,3,pitch,0.24420875
Bi,0.007144324,3,4,pitch,0.19353223
Bi,0.006809207,3,5,pitch,0.23116003
Bi,0.0031909382,3,6,pitch,0.07174445
Bi,0.0032004798,3,7,pitch,0.09887609
Bi,0.0052885762,3,8,pitch,0.17400263
Bi,0.0064526154,3,9,pitch,0.16513377
Bi,0.0080825845,3,10,pitch,0.21230307
Bi,0.0075305575,3,11,pitch,0.21068846
Bi,0.008564386,3,12,pitch,0.17653249
Bi,0.0068591684,3,13,pitch,0.14596455
Bi,0.0042609526,3,14,pitch,0.12758714
Bi,0.008208643,3,15,pitch,0.23827091
Bi,0.01881882,3,16,pitch,0.24234071
Bi,0.014088552,3,17,pitch,0.18088253
Bi,0.011249896,3,18,pitch,0.1888316
Bi,0.0066360896,3,19,pitch,0.16907728
Bi,0.0058093923,3,20,pitch,0.11030082
PP,0.004376134,4,1,pitch,0.4487899
PP,0.0073476154,4,2,pitch,0.5265491
PP,0.0032663736,4,3,pitch,0.796832
PP,0.0037187831,4,4,pitch,0.40165767
PP,0.006790381,4,5,pitch,1.03492
PP,0.0025293147,4,6,pitch,0.40805817
PP,0.005794662,4,7,pitch,0.33637843
PP,0.00820504,4,8,pitch,0.99336505
PP,0.0058002598,4,9,pitch,1.0421056
PP,0.003351355,4,10,pitch,0.33721465
PP,0.0045204517,4,11,pitch,0.551597
PP,0.003781407,4,12,pitch,0.72488296
PP,0.0029240923,4,13,pitch,0.79041827
PP,0.010609006,4,14,pitch,0.3242384
PP,0.002402545,4,15,pitch,0.29881412
PP,0.004195879,4,16,pitch,0.31326038
PP,0.0033214556,4,17,pitch,0.55142
PP,0.0033694694,4,18,pitch,0.32883835
PP,0.0039287354,4,19,pitch,0.6064105
PP,0.003245728,4,20,pitch,0.3195714
Ad(PD),0.04386964,4,1,pitch,1.1684797
Ad(PD),0.0061144787,4,2,pitch,1.0246477
Ad(PD),0.007082586,4,3,pitch,0.4976663
Ad(PD),0.04178407,4,4,pitch,1.1544702
Ad(PD),0.036253326,4,5,pitch,1.5535855
Ad(PD),0.021718407,4,6,pitch,2.1135554
Ad(PD),0.014972841,4,7,pitch,1.7155037
Ad(PD),0.057508618,4,8,pitch,1.8826356
Ad(PD),0.123890765,4,9,pitch,1.7459843
Ad(PD),0.04120167,4,10,pitch,1.6539319
Ad(PD),0.03428777,4,11,pitch,2.0069754
Ad(PD),0.0355726,4,12,pitch,1.0828333
Ad(PD),0.069856435,4,13,pitch,1.9884868
Ad(PD),0.067148805,4,14,pitch,1.3421484
Ad(PD),0.019490775,4,15,pitch,1.296037
Ad(PD),0.03055807,4,16,pitch,2.2720194
Ad(PD),0.038241915,4,17,pitch,1.5752352
Ad(PD),0.057786655,4,18,pitch,2.3611732
Ad(PD),0.056357488,4,19,pitch,2.422752
Ad(PD),0.013301175,4,20,pitch,1.1141351
Ad(Ac),0.037303735,4,1,pitch,0.32976934
Ad(Ac),0.0337613,4,2,pitch,0.4206222
Ad(Ac),0.019469539,4,3,pitch,0.3982889
Ad(Ac),0.05351522,4,4,pitch,0.2547792
Ad(Ac),0.041401245,4,5,pitch,0.303617
Ad(Ac),0.009184193,4,6,pitch,0.2032418
Ad(Ac),0.0208951,4,7,pitch,0.31055456
Ad(Ac),0.027809866,4,8,pitch,0.46129516
Ad(Ac),0.032249756,4,9,pitch,0.5496308
Ad(Ac),0.021756047,4,10,pitch,0.40421543
Ad(Ac),0.025807293,4,11,pitch,0.43273678
Ad(Ac),0.01355745,4,12,pitch,0.24430095
Ad(Ac),0.018475922,4,13,pitch,0.42635566
Ad(Ac),0.021380568,4,14,pitch,0.24270876
Ad(Ac),0.009041691,4,15,pitch,0.14265716
Ad(Ac),0.017985351,4,16,pitch,0.2087099
Ad(Ac),0.012340185,4,17,pitch,0.36685964
Ad(Ac),0.004566303,4,18,pitch,0.1779753
Ad(Ac),0.01656243,4,19,pitch,0.41900095
Ad(Ac),0.009232442,4,20,pitch,0.20166656
Bi,0.01444518,4,1,pitch,0.10908454
Bi,0.006472989,4,2,pitch,0.1150345
Bi,0.0035767178,4,3,pitch,0.077120505
Bi,0.0054504704,4,4,pitch,0.09778855
Bi,0.0055558598,4,5,pitch,0.18318395
Bi,0.005500625,4,6,pitch,0.075486
Bi,0.00749066,4,7,pitch,0.110524155
Bi,0.0044882665,4,8,pitch,0.19684802
Bi,0.0052435403,4,9,pitch,0.17977461
Bi,0.004753556,4,10,pitch,0.077224724
Bi,0.008072297,4,11,pitch,0.15153359
Bi,0.0071587083,4,12,pitch,0.09822471
Bi,0.005417708,4,13,pitch,0.12233548
Bi,0.005368725,4,14,pitch,0.15633042
Bi,0.0053724893,4,15,pitch,0.063798755
Bi,0.006843091,4,16,pitch,0.15378833
Bi,0.0038071813,4,17,pitch,0.15900739
Bi,0.0043529095,4,18,pitch,0.06162108
Bi,0.008776064,4,19,pitch,0.21658394
Bi,0.007959987,4,20,pitch,0.13230407
PP,0.004174357,5,1,pitch,0.283127
PP,0.03236487,5,2,pitch,0.6308723
PP,0.028603556,5,3,pitch,0.6518676
PP,0.033617955,5,4,pitch,0.43304193
PP,0.023057168,5,5,pitch,1.6489648
PP,0.033585098,5,6,pitch,0.44892356
PP,0.009006028,5,7,pitch,0.21943685
PP,0.019698942,5,8,pitch,0.7588185
PP,0.01948669,5,9,pitch,0.8607559
PP,0.020107917,5,10,pitch,1.0649518
PP,0.0034394572,5,11,pitch,1.1415528
PP,0.005067329,5,12,pitch,0.57506114
PP,0.011994008,5,13,pitch,1.0509855
PP,0.008290198,5,14,pitch,1.1798936
PP,0.009957657,5,15,pitch,0.68973935
PP,0.013267374,5,16,pitch,0.7726771
PP,0.01289449,5,17,pitch,1.1651185
PP,0.014475513,5,18,pitch,1.1932001
PP,0.009079832,5,19,pitch,1.2666354
PP,0.02095062,5,20,pitch,0.6796333
Ad(PD),0.0037796,5,1,pitch,0.2921487
Ad(PD),0.0052840724,5,2,pitch,0.46321666
Ad(PD),0.027174246,5,3,pitch,0.68931574
Ad(PD),0.0059148376,5,4,pitch,0.42382398
Ad(PD),0.00764032,5,5,pitch,0.49733853
Ad(PD),0.010760764,5,6,pitch,0.71528476
Ad(PD),0.006586806,5,7,pitch,0.687544
Ad(PD),0.01741951,5,8,pitch,0.93289536
Ad(PD),0.0129470825,5,9,pitch,1.0621047
Ad(PD),0.005405408,5,10,pitch,0.48782828
Ad(PD),0.004055321,5,11,pitch,0.29850215
Ad(PD),0.045777075,5,12,pitch,0.9041891
Ad(PD),0.01695292,5,13,pitch,0.90342206
Ad(PD),0.006843477,5,14,pitch,0.5314995
Ad(PD),0.029897207,5,15,pitch,1.0937625
Ad(PD),0.010558948,5,16,pitch,0.5945295
Ad(PD),0.0072788075,5,17,pitch,0.66373867
Ad(PD),0.024696134,5,18,pitch,0.6573124
Ad(PD),0.04754768,5,19,pitch,1.2139193
Ad(PD),0.025368536,5,20,pitch,0.75987273
Ad(Ac),0.009647978,5,1,pitch,0.24545781
Ad(Ac),0.028417844,5,2,pitch,0.44476283
Ad(Ac),0.12981929,5,3,pitch,1.1707625
Ad(Ac),0.015997767,5,4,pitch,0.27669472
Ad(Ac),0.05542701,5,5,pitch,0.68155813
Ad(Ac),0.09089432,5,6,pitch,0.74340177
Ad(Ac),0.009203734,5,7,pitch,0.11436409
Ad(Ac),0.03236942,5,8,pitch,0.566441
Ad(Ac),0.034147065,5,9,pitch,0.8891778
Ad(Ac),0.014794871,5,10,pitch,0.27340496
Ad(Ac),0.016331434,5,11,pitch,0.29918033
Ad(Ac),0.021768052,5,12,pitch,0.49734652
Ad(Ac),0.0706559,5,13,pitch,0.60206604
Ad(Ac),0.029195407,5,14,pitch,0.29892704
Ad(Ac),0.109793395,5,15,pitch,0.8159445
Ad(Ac),0.014013564,5,16,pitch,0.3120929
Ad(Ac),0.010728754,5,17,pitch,0.30117026
Ad(Ac),0.040411916,5,18,pitch,0.8870877
Ad(Ac),0.036669806,5,19,pitch,0.8439779
Ad(Ac),0.036587793,5,20,pitch,0.6443636
Bi,0.0040966542,5,1,pitch,0.09940007
Bi,0.009963599,5,2,pitch,0.15857355
Bi,0.059847385,5,3,pitch,0.3469258
Bi,0.009343001,5,4,pitch,0.18458529
Bi,0.0098256245,5,5,pitch,0.22894488
Bi,0.017248869,5,6,pitch,0.1889946
Bi,0.0057455655,5,7,pitch,0.06615581
Bi,0.010024792,5,8,pitch,0.24155717
Bi,0.014497538,5,9,pitch,0.3034598
Bi,0.006166244,5,10,pitch,0.08449594
Bi,0.0048365933,5,11,pitch,0.11702507
Bi,0.015189979,5,12,pitch,0.25799587
Bi,0.021166513,5,13,pitch,0.24382113
Bi,0.014807071,5,14,pitch,0.14865053
Bi,0.013182774,5,15,pitch,0.31705847
Bi,0.010239981,5,16,pitch,0.18538451
Bi,0.008932246,5,17,pitch,0.26150343
Bi,0.0075785574,5,18,pitch,0.2615726
Bi,0.009063474,5,19,pitch,0.22331388
Bi,0.018500417,5,20,pitch,0.09779404
PP,0.0017318655,6,1,pitch,0.18607767
PP,0.002461166,6,2,pitch,0.14828858
PP,0.0040281927,6,3,pitch,0.4385821
PP,0.036323316,6,4,pitch,1.0686252
PP,0.005929281,6,5,pitch,0.7942491
PP,0.004395977,6,6,pitch,0.47480232
PP,0.012987364,6,7,pitch,0.570079
PP,0.012764463,6,8,pitch,0.91618395
PP,0.025474051,6,9,pitch,0.5637929
PP,0.010650246,6,10,pitch,0.7249578
PP,0.05274459,6,11,pitch,1.1942984
PP,0.0035063578,6,12,pitch,1.7050377
PP,0.02196154,6,13,pitch,0.7041271
PP,0.046465397,6,14,pitch,0.4725763
PP,0.008521286,6,15,pitch,0.5655463
PP,0.014139246,6,16,pitch,1.089198
PP,0.010273421,6,17,pitch,1.3309287
PP,0.00611447,6,18,pitch,0.8604642
PP,0.007855085,6,19,pitch,1.1836506
PP,0.01572159,6,20,pitch,1.079773
Ad(PD),0.0094644325,6,1,pitch,1.2888452
Ad(PD),0.0035842618,6,2,pitch,0.5393142
Ad(PD),0.0557844,6,3,pitch,2.1121094
Ad(PD),0.05379855,6,4,pitch,2.3286703
Ad(PD),0.05254204,6,5,pitch,1.2031898
Ad(PD),0.022772597,6,6,pitch,1.0284668
Ad(PD),0.012263707,6,7,pitch,0.7160383
Ad(PD),0.044458125,6,8,pitch,1.4716086
Ad(PD),0.11601417,6,9,pitch,2.4886584
Ad(PD),0.007510368,6,10,pitch,1.0565649
Ad(PD),0.12420115,6,11,pitch,2.1980813
Ad(PD),0.035650436,6,12,pitch,1.5538361
Ad(PD),0.09406106,6,13,pitch,1.6615386
Ad(PD),0.057315204,6,14,pitch,1.2249174
Ad(PD),0.023841156,6,15,pitch,1.1403652
Ad(PD),0.09946054,6,16,pitch,1.440843
Ad(PD),0.079889216,6,17,pitch,2.1410944
Ad(PD),0.019200811,6,18,pitch,1.1907287
Ad(PD),0.019775227,6,19,pitch,0.92581964
Ad(PD),0.034874454,6,20,pitch,1.3052093
Ad(Ac),0.01758595,6,1,pitch,0.20961824
Ad(Ac),0.007599288,6,2,pitch,0.1706237
Ad(Ac),0.030778076,6,3,pitch,0.4886647
Ad(Ac),0.04026005,6,4,pitch,0.7063351
Ad(Ac),0.015974067,6,5,pitch,0.32372335
Ad(Ac),0.0077022063,6,6,pitch,0.17103787
Ad(Ac),0.017662998,6,7,pitch,0.65110326
